X.usr.local.lib.R.library.aCGH.data.sprocCR40.txt	X.usr.local.lib.R.library.aCGH.data.sprocCR43.txt
300	-0.150779	-0.100853
301	0.059098	0.0144
302	0.05526	0.061318
303	-0.057461	-0.059551
304	0.034777	0.064978
306	-0.052509	-0.018439
307	-0.152397	-0.113427
308	-0.044272	-0.10013
309	-0.057074	0.003097
310	-0.022429	0.107997
311	0.031483	0.079881
312	-0.036877	-0.034687
313	-0.015727	-0.056943
314	0.029469	-0.051542
315	-0.063742	-0.013373
316	-0.036095	0.018522
317	0.118852	0.058223
318	-0.094603	-0.001258
319	-0.060395	0.014459
320	-0.048076	-0.106212
321	0.085466	0.03021
322	0.084219	-0.013693
323	-0.001396	-0.048562
324	0.011962	-0.039343
325	0.253085	0.084632
326	0.005873	0.079754
327	0.140452	0.029321
328	0.153078	0.071628
330	-0.178941	0.021425
331	0.128413	0.040423
332	0.096167	0.035926
333	0.185796	0.06148
334	0.137186	0.061677
336	0.027341	-0.0282
337	0.033825	0.04563
338	0.008366	0.021502
339	0.040101	-0.015028
340	-0.064616	-0.000303
341	-0.014501	-0.064613
342	0.044245	-0.022842
343	0.092852	0.014352
344	0.017441	-0.004016
345	0.006371	-0.073826
346	0.091699	0.093085
347	0.043306	-0.006208
348	0.155548	0.031764
349	0.117054	0.002606
350	0.043248	-0.023216
351	0.061354	0.111672
352	0.073658	-0.005692
353	0.101785	-0.00067
354	0.034378	0.038369
355	0.068998	0.112554
356	0.168473	0.075991
357	0.107426	0.00202
358	0.054685	-0.028511
359	0.044451	-0.037319
360	0.018293	-0.026107
361	0.120914	0.060885
362	0.00159	0.003698
363	0.003872	0.000877
364	0.065617	0.059437
365	-0.037288	0.025668
366	0.065099	0.020521
367	0.140027	0.105084
368	0.063346	0.052051
369	0.015409	0.002401
370	0.108696	0.119258
371	0.040826	0.00795
372	0.09851	0.037262
373	0.264394	0.097516
374	0.031222	0.063052
375	0.093614	0.036622
376	-0.028684	0.040121
377	0.036356	0.022425
379	0.166555	0.105247
380	0.159152	0.101635
381	0.192091	0.11474
382	0.066396	0.064315
383	0.160957	0.072536
384	0.083434	0.093039
385	0.297082	0.105546
386	0.248389	0.081807
388	-0.032652	-0.052086
389	0.027831	-0.06758
390	0.097606	0.001947
391	-0.169736	-0.021407
392	0.052963	-0.026463
393	0.004211	-0.038005
394	0.098936	0.019594
395	-0.056365	-0.068602
396	-0.1143	-0.062404
397	0.105565	0.006856
398	0.0366	0.005889
400	0.214538	0.089167
401	0.038211	0.048789
402	0.042544	-0.003702
403	-0.048919	0.004967
404	0.040615	0.028057
405	-0.057905	-0.021982
406	0.057033	-0.000218
407	0.049517	0.060772
410	0.130457	0.041898
411	0.070072	0.01727
412	-0.002086	-0.026097
413	0.13458	0.01478
414	0.002417	-0.119323
415	-0.010854	-0.066342
416	0.045404	0.026099
417	0.121445	0.003927
418	0.086472	0.029767
419	0.037078	-0.025265
420	-0.116972	-0.012781
421	0.114463	0.048233
422	0.049916	0.093439
423	0.029648	-0.006026
424	0.028124	0.030279
425	0.059338	0.020419
426	0.095391	0.000722
427	-0.029152	0.058894
428	-0.018919	-0.025611
429	0.026127	-0.036297
430	-0.063767	0.076461
431	0.045969	-0.028571
432	-0.068785	0.016492
433	0.011369	-0.043166
434	0.052123	0.006117
437	-0.091266	0.010361
438	0.020069	0.018211
439	-0.088604	-0.019018
440	-0.091599	-0.056504
441	0.004003	-0.035855
442	0.034693	-0.018757
443	-0.103863	-0.013619
444	-0.002995	-0.038266
445	0.04293	-0.038244
446	0.06792	0.034998
447	0.078503	0.027782
448	-0.050697	-0.05135
449	0.144919	0.107838
450	0.151886	0.074935
451	-0.036062	-0.017092
452	0.027713	0.056205
453	0.012841	0.055208
454	0.165269	0.110278
455	0.138316	0.07432
456	0.034626	0.108882
457	-0.043914	-0.083953
458	-0.090646	0.047443
459	0.101786	0.088709
460	-0.044748	-0.09021
461	0.011525	-0.018858
462	-0.068754	-0.001509
463	0.01277	0.026579
464	0.027283	-0.067029
465	0.041352	0.004317
466	0.1002645	0.029584
468	0.057027	0.077075
469	-0.039709	-0.07955
470	0.012561	-0.009082
471	0.0816	0.072546
472	0.108417	-0.007873
473	0.147623	0.081783
474	0.110731	0.047864
475	0.006228	0.015373
476	0.174711	0.089578
477	0.144368	0.02736
478	0.042555	-0.070883
479	0.105144	0.020768
481	0.045167	0.020107
482	0.062587	0.011598
483	-0.201282	0.006801
484	-0.021201	0.007836
485	0.008293	-0.075082
486	-0.030087	-0.031945
487	0.054594	-0.011659
488	-0.024172	-0.052619
489	-0.060394	0.150094
490	-0.006808	-0.008903
491	0.038893	-0.022717
492	0.02447	-0.053463
493	-0.040967	-0.125615
494	-0.21471	-0.086396
495	-0.057808	-0.135169
496	-0.137488	-0.058146
497	-0.053353	0.026116
498	0.16984	0.041307
500	0.039646	0.123707
501	-0.132595	-0.016496
502	-0.161063	0.006855
503	0.047525	0.040892
504	-0.06334	0.04288
505	0.023019	-0.00257
506	-0.133022	-0.035346
507	0.005393	-0.044116
508	-0.018609	0.060317
509	0.101121	0.09321
510	-0.002798	-0.021868
511	-1.9e-05	0.073345
513	-0.018232	-0.09326
514	-0.044459	-0.07141
515	0.002348	0.021749
516	0.105434	0.073829
517	-0.076807	0.054275
518	0.042522	-0.032911
519	-0.106934	0.000187
520	-0.043445	-0.083358
521	-0.01896	-0.068326
522	-0.020312	0.021969
524	-0.024241	-0.016545
525	0.011892	0.076968
526	-0.080555	-0.030494
527	-0.121135	-0.052044
528	-0.036601	0.014941
529	-0.113467	0.025878
530	0.020584	-0.064826
531	-0.074089	0.04788
532	-0.148569	-0.091465
533	0.071377	0.042771
534	-0.06832	-0.073655
535	-0.112674	-0.161046
536	0.026486	-0.032905
538	-0.041162	-0.091945
539	-0.065501	-0.008904
540	-0.020607	-0.063985
541	-0.155697	-0.021393
542	-0.064499	-0.103206
543	0.094344	0.125796
544	0.012595	0.00397
546	-0.173746	-0.009719
547	0.132822	0.035348
548	-0.04999	-0.106837
549	0.034745	-0.046578
550	0.010718	-0.017314
551	-0.148082	-0.04877
552	-0.04097	0.040375
553	-0.003637	-0.087996
554	-0.098842	-0.020362
555	0.124385	0.124002
558	-0.091274	-0.081713
559	-0.101936	0.03571
560	-0.100993	-0.042395
561	0.077077	-0.00501
564	-0.035301	-0.019954
566	-0.032911	-0.111338
568	0.037343	0.031371
569	-0.134839	0.005847
570	-0.100942	-0.111493
571	-0.047563	-0.013139
572	-0.078481	-0.035801
573	-0.067672	-0.193995
575	-0.073561	-0.012628
576	-0.22263	-0.006386
577	-0.050899	-0.003075
578	-0.072564	-0.142971
579	-0.020227	-0.09854
580	0.060078	0.077507
581	-0.083229	-0.08891
583	0.101427	0.062449
584	0.032794	-0.053524
585	-0.039772	-0.111918
586	0.032801	-0.022801
587	-0.004887	-0.022023
589	-0.003547	-0.030039
590	0.028831	-0.024168
591	-0.012034	-0.017667
593	-0.072006	-0.042574
594	-0.096341	-0.058935
595	0.032371	-0.02724
596	0.056798	-0.063828
597	0.028793	0.058009
598	-0.10323	-0.021998
599	-0.010632	-0.001246
602	-0.052972	0.006502
603	-0.010966	0.002942
604	-0.123909	0.029311
605	0.013494	-0.043176
607	0.03274	-0.131528
608	-0.061748	-0.046632
611	0.07243	0.044327
612	-0.001548	-0.07291
613	-0.190329	-0.110079
614	-0.107015	-0.06459
615	0.002638	-0.071817
616	-0.005396	0.029763
617	-0.007574	0.006841
618	0.01232	-0.090438
619	0.001855	-0.033047
620	-0.082062	0.008305
621	-0.164122	-0.012125
622	-0.005186	0.039529
623	-0.10854	-0.008506
624	-0.024933	-0.019975
625	-0.004073	-0.005932
626	-0.02826	-0.107728
628	0.011507	-0.075837
631	-0.134832	-0.057176
632	-0.034779	-0.031497
633	0.002361	-0.014087
634	-0.076388	-0.031981
635	-0.065081	-0.029116
636	-0.118404	-0.173752
637	-0.122143	-0.03004
639	0.003111	-0.078326
640	0.027648	-0.066091
643	-0.040548	-0.108753
644	0.042238	-0.013577
645	0.05356	-0.060414
648	-0.053753	-0.026656
649	-0.02355	-0.032167
650	-0.088745	-0.03537
651	-0.197171	-0.120657
652	-0.043839	0.071124
654	-0.058413	-0.027673
655	-0.041754	-0.026384
660	-0.088768	-0.042306
661	0.100953	0.005216
662	-0.051325	-0.001304
663	-0.045513	0.024376
664	-0.010821	-0.067432
665	-0.024786	-0.014094
666	0.006342	0.019194
667	-0.033881	-0.056099
668	-0.044229	-0.04713
669	-0.075178	0.001659
670	-0.108844	-0.029254
671	-0.104414	-0.051532
672	-0.083141	-0.308843
673	-0.051415	-0.034928
674	-0.33968	-0.130155
675	-0.062638	0.038795
676	-0.025879	0.014466
677	-0.054122	-0.119447
678	0.111855	-0.020863
679	0.05068	-0.030492
680	-0.063794	0.004514
682	-0.107869	-0.004323
683	-0.019446	-0.065008
684	-0.092858	0.004533
685	-0.113937	0.010197
686	0.060408	-0.050494
687	-0.092877	-0.074447
688	-0.071838	-0.065946
689	-0.028293	-0.071348
690	-0.020864	0.057924
691	0.055966	-0.011883
692	-0.164989	-0.084865
693	-0.135737	-0.114766
694	0.202565	0.051647
695	0.088376	-0.05329
696	-0.123444	-0.01893
697	0.324711	0.421695
698	-0.004184	-0.021921
699	-0.006132	-0.017506
700	0.037447	0.043305
701	-0.169998	0.048404
702	0.042381	0.060691
703	-0.01403	-0.059504
704	-0.037362	-0.003535
705	-0.057477	-0.004012
706	-0.102133	0.010611
707	0.004344	0.103404
708	-0.05417	-0.05158
709	-0.129586	0.024237
711	-0.070864	0.003837
712	0.112259	0.111301
713	0.062923	0.143417
714	-0.104164	0.035168
715	-0.072609	-0.024199
716	0.044461	0.127102
717	-0.20727	-0.016287
718	-0.051445	0.091283
719	-0.115211	0.086933
720	-0.0696	0.094077
721	0.043308	0.09277
722	-0.104851	0.060313
723	-0.115693	0.046494
725	-0.076339	0.070295
726	-0.042199	0.047451
727	0.065433	0.150822
729	0.043696	0.052676
730	0.11894	0.089993
731	-0.145434	0.040264
732	-0.184025	0.048339
735	-0.081905	0.029884
736	-0.097152	0.01116
737	-0.117736	0.03379
738	-0.085505	0.075716
739	0.02556	0.075588
740	-0.096777	-0.026091
743	-0.019317	-0.059479
745	-0.103985	-0.002831
746	-0.072734	0.021535
747	-0.056805	-0.068927
749	-0.090489	0.039054
751	-0.011806	0.059061
752	-0.063161	0.051558
754	-0.080125	0.070504
755	-0.117894	-0.029254
756	-0.05332	0.076302
758	-0.01191	0.089185
759	-0.093345	0.050692
760	-0.036003	-0.010712
761	-0.028667	0.062544
762	0.033824	0.017214
763	0.001203	-0.021261
764	-0.065433	0.023598
765	0.115011	0.095744
766	-0.028167	-0.021528
768	-0.153489	0.051403
769	-0.032816	0.043691
770	0.045131	0.143746
772	-0.09907	0.072112
773	-0.183954	0.015847
774	-0.016226	0.036119
776	-0.091715	-0.061824
777	0.13098	0.100295
778	-0.150283	-0.011251
780	0.014493	0.050965
781	-0.029168	-0.040241
782	-0.113161	-0.070334
783	0.033432	0.057529
784	-0.022244	-0.034997
785	0.029162	0.073431
787	-0.021157	0.1146
789	-0.018491	-0.031433
790	0.062917	0.086243
791	-0.069667	0.049985
792	-0.053481	0.004635
793	0.012656	-0.054585
795	0.050633	0.058223
798	0.041042	0.020525
799	0.070619	0.067901
801	0.025789	-0.064538
802	0.074146	0.039115
803	-0.106194	-0.00686
804	0.009732	0.092749
805	0.033414	-0.0315595
809	-0.012748	0.06235
811	-0.093736	0.037313
813	0.054517	0.026742
814	0.033671	0.113524
815	0.003966	0.104723
816	0.064481	-0.055455
817	0.121829	0.086952
818	-0.043062	0.119764
820	0.004332	0.020953
821	0.016997	0.033153
822	-0.057097	0.007752
823	-0.128213	-0.003431
824	-0.013322	0.02051
825	0.102401	0.119473
826	0.065645	0.082809
828	-0.065038	-0.022252
829	0.024508	0.02891
830	-0.108173	-0.016022
831	0.06333	0.07661
832	-0.105272	0.039172
833	-0.033789	0.010568
835	-0.036671	-0.010758
837	-0.022659	-0.016957
838	-0.051008	0.101208
839	0.057959	0.087385
840	0.035913	0.055701
841	-0.048811	0.018994
844	0.042219	0.085546
846	-0.090842	0.057566
848	0.111367	0.093083
850	-0.085013	-0.037897
851	-0.017434	0.109552
852	0.141003	0.12169
855	0.122916	0.051402
856	0.032918	0.180009
857	-0.112688	-0.066831
859	-0.155258	0.028805
860	-0.023018	0.043312
861	-0.0012	-0.025325
864	-0.039753	-0.019839
865	-0.045204	0.012084
867	0.016142	0.032979
868	-0.047566	0.0038
869	0.061257	0.072929
870	0.030446	0.007354
871	0.018866	0.038269
872	-0.069634	0.052069
873	0.015457	0.01362
875	-0.14809	0.170774
876	-0.107696	-0.043147
877	-0.068792	0.044679
879	-0.076074	-0.045672
880	0.049327	0.115714
881	0.014336	0.056175
882	0.196298	0.131517
883	0.064851	0.176577
884	-0.069214	0.042889
887	0.10878	0.138134
888	-0.07322	0.040086
890	-0.008433	0.007378
891	0.069465	-0.044113
892	0.128777	0.016583
893	-0.103192	-0.043184
894	0.007931	-0.04645
895	0.154514	0.105634
896	-0.040273	-0.092979
897	-0.070019	0.041766
898	0.048292	0.022017
899	0.131354	0.120961
900	0.176228	0.147848
901	0.021434	-0.046705
902	-0.023897	-0.071556
903	-0.031544	-0.02588
904	0.057427	0.012108
905	0.019778	0.029895
906	-0.13506	0.047933
907	-0.039001	0.037976
908	0.02797	0.029699
909	-0.01606	0.033403
911	0.023793	0.053372
912	-0.058784	-0.001643
913	0.014736	0.013627
914	-0.045541	0.005948
915	0.017354	-0.055022
916	-0.018725	-0.035072
920	0.026136	-0.006962
921	-0.016077	-0.003607
922	0.015781	-0.046161
923	-0.018925	-0.055439
924	0.021435	-0.069156
926	0.044466	-1.2e-05
927	0.022213	0.027405
931	0.00832	-0.012677
932	0.003793	0.035447
933	0.02013	0.001704
934	0.068314	-0.032008
936	0.078405	0.016769
937	0.045225	0.040437
938	-0.004112	-0.007655
939	0.120187	0.067115
940	0.023806	0.055617
941	-0.078893	-0.043872
942	0.125005	0.027547
943	0.022985	0.023801
944	0.067862	0.042409
945	0.042489	0.055239
946	0.109594	-0.013576
947	0.111083	0.084612
948	-0.024452	0.009641
949	-0.041964	0.061681
950	0.073914	0.051799
952	0.076691	0.036843
953	-0.05059	-0.082612
954	0.024649	-0.032417
955	0.12789	0.015177
956	0.059355	-0.030177
959	0.03548	0.066433
961	0.080471	0.084599
962	0.0188185	0.1091235
964	0.0107095	0.0321545
966	0.0290515	0.020953
968	0.069413	0.0600525
970	-0.092655	0.0021605
973	0.075137	0.003487
974	-0.241418	-0.074076
978	-0.0145985	0.082809
980	0.101832	0.035213
981	0.10053	0.09033
983	0.049087	0.131927
985	0.13231	0.035482
986	0.022534	0.069857
988	0.113509	0.100732
989	0.154489	0.032619
990	-0.011496	0.027346
992	-0.020748	-0.048544
994	0.008977	0.033967
995	0.122834	0.000275
997	0.090812	0.035476
998	0.12734	-0.035875
999	-0.000823	0.142828
1000	0.01368	0.049657
1002	0.033584	0.10077
1003	0.021832	0.001142
1004	0.074665	0.129897
1005	0.087601	0.038014
1006	0.113335	0.071044
1007	-0.035691	-0.004883
1008	-0.0629	-0.014783
1009	-0.118244	-0.052719
1010	0.0617845	0.115621
1012	-0.020299	-0.033931
1013	-0.066699	-0.036826
1014	-0.019729	0.000723
1015	0.048304	0.032616
1017	-0.118072	0.024166
1018	-0.012434	0.017276
1021	0.085484	0.123133
1022	-0.025796	-0.074824
1023	-0.004588	0.071172
1027	-0.140559	-0.053028
1028	-0.106645	0.037607
1029	0.077037	0.149547
1030	-0.11416	0.046023
1031	-0.033183	-0.012726
1032	0.015758	0.051029
1033	-0.035086	0.022728
1034	-0.012837	-0.015004
1035	-0.00639	0.040575
1036	0.039048	-0.0412
1039	-0.050007	-0.012715
1040	0.015457	0.01362
1042	-0.0414	0.040754
1043	0.013548	0.014471
1044	0.004337	0.009471
1045	-0.060614	-0.023717
1046	-0.095127	0.021957
1047	-0.074284	0.069386
1048	-0.04797	-0.068349
1049	-0.012447	-0.084428
1050	-0.172123	0.865194
1051	-0.073463	-0.009591
1052	-0.073262	-0.029008
1054	-0.062502	0.011626
1055	0.035462	-0.041679
1056	-0.104	-0.028155
1057	-0.067122	0.02379
1058	0.097017	0.068497
1059	0.0576	0.036821
1060	-0.070456	-0.014064
1061	-0.058345	0.011619
1062	0.084221	0.070663
1063	-0.025082	0.049549
1064	-0.017289	-0.050686
1065	-0.036419	0.045644
1066	-0.065609	-0.038094
1067	0.007803	0.025171
1068	-0.04161	-0.040283
1070	-0.137886	-0.003855
1072	0.046806	0.189657
1073	-0.072534	-0.027349
1074	0.000584	0.173838
1075	0.056387	0.047485
1076	0.1055	0.080493
1077	0.001705	-0.026845
1078	-0.113566	0.025704
1080	0.046282	0.038703
1081	0.013546	0.08461
1082	-0.056967	0.074645
1083	-0.025493	0.015858
1084	0.0501	0.046017
1085	0.034347	-0.040247
1086	-0.07256	0.060213
1087	-0.028974	0.041163
1088	0.035883	0.058265
1089	-0.021358	0.001198
1090	-0.157418	-0.001647
1091	-0.017274	-0.016941
1092	0.004265	0.033126
1093	0.037341	0.016724
1094	-0.150701	-0.023414
1095	-0.199906	-0.040036
1096	0.04372	0.070731
1097	0.08208	0.078823
1098	0.007913	-0.030701
1099	0.039059	0.032557
1100	-0.065927	0.000797
1101	-0.077703	0.064773
1102	-0.011246	0.072109
1103	-0.083296	0.062988
1104	0.015409	0.07971
1106	-0.133144	-0.069379
1107	-0.044678	0.011998
1108	-0.120862	-0.002883
1109	-0.08693	-0.017901
1111	-0.112722	-0.112363
1112	-0.1862	-0.081851
1113	-0.080149	-0.033385
1114	-0.144559	-0.067572
1115	0.078092	-0.002625
1116	0.019668	0.004466
1117	0.071995	0.028909
1118	-0.019324	0.012105
1119	-0.044249	0.021806
1120	-0.192702	-0.181938
1121	-0.052931	0.051106
1122	-0.047559	0.019964
1123	-0.163187	-0.089447
1124	-0.034794	-0.039259
1125	-0.081101	0.03722
1126	-0.037256	0.048229
1127	-0.087319	0.05948
1128	0.003127	0.063193
1129	0.020642	0.078742
1130	0.028895	0.005809
1131	0.054034	0.040904
1133	-0.057091	-0.045097
1134	0.039053	0.041817
1135	-0.112685	-0.031965
1136	-0.102699	0.007208
1137	-0.015819	-0.023554
1138	-0.066274	0.005994
1139	0.05211	0.090201
1140	-0.072552	-0.005322
1141	-0.171724	-0.038331
1142	-0.081185	-0.014163
1143	-0.098406	0.057503
1144	0.054019	0.05649
1145	-0.054689	-0.061445
1146	0.04794	-0.007376
1148	-0.05393	-0.010786
1149	0.05631	0.164011
1150	-0.068827	-0.05404
1151	0.170163	0.155004
1152	-0.053749	0.031724
1153	-0.060222	-0.00689
1154	-0.199007	0.071654
1155	-0.068017	0.029893
1156	0.017869	-0.012167
1157	-0.016468	0.018529
1158	0.038102	0.070937
1159	0.110695	0.042772
1160	0.011092	0.027548
1161	0.093548	0.053831
1162	-0.139218	-0.071879
1163	0.091009	0.068884
1164	-0.076841	-0.024238
1165	-0.0488	-0.033982
1166	-0.04927	-0.015597
1167	-0.034003	0.059367
1168	-0.068138	-0.029497
1169	-0.063434	-0.100091
1170	0.027334	0.034983
1171	0.129542	-0.04513
1172	0.021706	-0.033894
1173	-0.002678	-0.005915
1174	-0.040721	-0.004582
1175	-0.022048	-0.090167
1176	-0.012438	0.005623
1178	0.006332	-0.035838
1179	-0.136776	-0.00167
1180	0.039714	-0.050633
1181	0.109674	0.028053
1182	-0.043499	-0.0353785
1184	0.130958	-0.000771
1185	-0.021615	-0.035324
1186	-0.024576	-0.070382
1187	0.029561	-0.054977
1188	-0.018106	-0.049787
1189	0.086128	0.051075
1190	0.074801	-0.004999
1191	0.026933	-0.046273
1192	0.102423	0.022356
1193	0.084892	0.002949
1194	0.005611	0.041469
1195	-0.131112	-0.103877
1196	-0.031994	0.05283
1197	-0.014091	-0.109448
1198	0.042092	0.015814
1199	0.046402	-0.011284
1200	0.015871	-0.017647
1201	-0.000806	-0.041221
1202	0.00381	0.055288
1203	0.062192	-0.022318
1204	0.008781	0.031069
1205	0.030784	0.026643
1206	0.065891	-0.092738
1207	-0.015261	-0.085391
1210	-0.008517	-0.040691
1211	0.051883	0.013931
1212	-0.031533	-0.109346
1213	0.001532	-0.069103
1214	0.029558	0.00597
1215	0.024134	-0.022012
1216	0.012699	-0.066097
1217	0.072087	0.009717
1218	-0.08481	-0.049759
1219	0.063255	-0.03543
1220	-0.015781	-0.077333
1221	0.094825	-0.021904
1222	-9.2e-05	0.008589
1223	0.075463	-0.082345
1224	0.046743	-0.010446
1225	0.038971	-0.030479
1226	0.018846	-0.031931
1227	-0.007593	-0.015986
1228	-0.025598	-0.036891
1229	0.023211	0.00166
1230	0.000775	-0.05348
1233	-0.135736	-0.093685
1234	0.159909	0.000231
1235	0.095851	-0.087901
1236	0.033061	-0.098791
1237	0.044454	-0.005452
1238	0.078051	-0.01662
1239	0.021659	-0.042394
1240	-0.170925	-0.131043
1241	0.048302	-0.005366
1242	0.092313	0.05509
1243	-0.044177	-0.054957
1244	-0.094971	0.060967
1245	0.010208	0.004171
1246	0.059967	0.056018
1247	0.211542	0.072478
1248	-0.031921	-0.043648
1249	0.016523	0.048844
1250	0.125495	-0.007401
1251	-0.066803	0.043124
1252	0.158929	0.048268
1253	0.06556	0.05142
1254	0.044848	-0.054189
1255	0.001181	-0.018913
